Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,3,2024-02-07,5061.8,514,1,0,0,0
1,4,2024-02-08,4997.78,501,1,0,0,0
1,5,2024-02-09,5778.41,574,1,0,0,0
1,6,2024-02-10,5762.37,568,1,0,0,0
1,7,2024-02-11,0.0,0,0,1,0,0
1,1,2024-02-12,5442.32,550,1,1,0,0
1,2,2024-02-13,5533.53,553,1,1,0,0
1,3,2024-02-14,5131.52,518,1,0,0,0
1,4,2024-02-15,5157.58,514,1,0,0,0
1,5,2024-02-16,5680.77,567,1,0,0,0
1,6,2024-02-17,5532.85,535,1,0,0,0
1,7,2024-02-18,0.0,0,0,0,0,0
1,1,2024-02-19,5140.63,503,1,0,0,0
1,2,2024-02-20,5050.83,520,1,0,0,0
1,3,2024-02-21,5576.94,566,1,1,0,0
1,4,2024-02-22,5511.07,548,1,1,0,0
1,5,2024-02-23,6162.43,612,1,1,0,0
1,6,2024-02-24,5860.53,565,1,0,0,0
1,7,2024-02-25,0.0,2,0,0,0,0
1,1,2024-02-26,5044.68,487,1,0,0,0
1,2,2024-02-27,5127.65,506,1,0,0,0
1,3,2024-02-28,5149.86,515,1,0,0,0
1,4,2024-02-29,5317.02,528,1,0,0,0
1,5,2024-03-01,6174.77,619,1,1,0,0
1,6,2024-03-02,6326.68,648,1,1,0,0
1,7,2024-03-03,0.0,4,0,1,0,0
1,1,2024-03-04,5311.03,516,1,0,0,0
1,2,2024-03-05,5061.11,494,1,0,0,0
1,3,2024-03-06,5093.47,492,1,0,0,0
1,4,2024-03-07,5218.74,519,1,0,0,0
1,5,2024-03-08,5618.21,549,1,0,0,0
1,6,2024-03-09,5834.44,593,1,0,0,0
1,7,2024-03-10,0.0,34,0,0,0,0
1,1,2024-03-11,5720.48,560,1,1,0,0
1,2,2024-03-12,5416.75,544,1,1,0,0
1,3,2024-03-13,5576.79,552,1,1,0,0
1,4,2024-03-14,5082.54,506,1,0,0,0
1,5,2024-03-15,5935.48,595,1,0,0,0
1,6,2024-03-16,5790.0,566,1,0,0,0
1,7,2024-03-17,0.0,0,0,0,0,0
1,1,2024-03-18,5155.26,536,1,0,0,0
1,2,2024-03-19,5178.54,529,1,0,0,0
1,3,2024-03-20,5104.1,496,1,0,0,0
1,4,2024-03-21,5569.22,548,1,1,0,0
1,5,2024-03-22,6591.37,649,1,1,0,0
1,6,2024-03-23,6437.4,632,1,1,0,0
1,7,2024-03-24,0.0,4,0,0,0,0
1,1,2024-03-25,5149.35,514,1,0,0,0
1,2,2024-03-26,5090.12,514,1,0,0,0
1,3,2024-03-27,5114.55,496,1,0,0,0
1,4,2024-03-28,5016.15,503,1,0,0,0
1,5,2024-03-29,6009.25,602,1,0,0,0
1,6,2024-03-30,5805.69,583,1,0,0,0
1,7,2024-03-31,0.0,2,0,1,0,0
1,1,2024-04-01,5640.66,577,1,1,0,1
1,2,2024-04-02,5741.31,592,1,1,0,1
1,3,2024-04-03,5711.63,556,1,1,0,1
1,4,2024-04-04,5005.15,520,1,0,0,1
1,5,2024-04-05,6025.77,600,1,0,0,1
1,6,2024-04-06,5772.45,594,1,0,0,1
1,7,2024-04-07,0.0,0,0,0,0,1
1,1,2024-04-08,5244.36,519,1,0,0,1
1,2,2024-04-09,5165.76,514,1,0,0,1
1,3,2024-04-10,5206.01,537,1,0,0,1
1,4,2024-04-11,5695.41,577,1,1,0,1
1,5,2024-04-12,6087.46,608,1,1,0,1
1,6,2024-04-13,6231.14,608,1,1,0,1
1,7,2024-04-14,0.0,0,0,0,0,1
1,1,2024-04-15,5269.65,511,1,0,0,1
1,2,2024-04-16,5161.99,510,1,0,0,1
1,3,2024-04-17,5117.47,523,1,0,0,1
1,4,2024-04-18,5219.75,538,1,0,0,1
1,5,2024-04-19,5784.94,570,1,0,0,1
1,6,2024-04-20,5774.82,580,1,0,0,1
1,7,2024-04-21,0.0,0,0,1,0,1
1,1,2024-04-22,5678.69,570,1,1,0,1
1,2,2024-04-23,5967.87,619,1,1,0,1
1,3,2024-04-24,5041.24,500,1,0,0,1
1,4,2024-04-25,4965.78,489,1,0,0,1
1,5,2024-04-26,5826.95,597,1,0,0,1
1,6,2024-04-27,5699.18,562,1,0,0,1
1,7,2024-04-28,0.0,0,0,0,0,1
1,1,2024-04-29,5004.11,494,1,0,0,1
1,2,2024-04-30,5023.72,501,1,0,0,1
1,3,2024-05-01,5435.28,525,1,1,0,0
1,4,2024-05-02,5898.89,574,1,1,0,0
1,5,2024-05-03,6158.87,637,1,1,0,0
1,6,2024-05-04,6116.1,597,1,0,0,0
1,7,2024-05-05,0.0,4,0,0,0,0
1,1,2024-05-06,5318.74,520,1,0,0,0
1,2,2024-05-07,5078.64,517,1,0,0,0
1,3,2024-05-08,5156.95,511,1,0,0,0
1,4,2024-05-09,5085.35,492,1,0,0,0
1,5,2024-05-10,5719.38,568,1,0,0,0
1,6,2024-05-11,6292.3,622,1,1,0,0
1,7,2024-05-12,0.0,12,0,1,0,0
1,1,2024-05-13,5625.84,566,1,1,0,0
1,2,2024-05-14,5089.84,508,1,0,0,0
1,3,2024-05-15,4993.07,503,1,0,0,0
1,4,2024-05-16,5064.11,531,1,0,0,0
1,5,2024-05-17,5910.65,595,1,0,0,0
1,6,2024-05-18,5626.28,549,1,0,0,0
1,7,2024-05-19,0.0,3,0,0,0,0
2,1,2024-01-01,5983.13,577,1,1,0,0
2,2,2024-01-02,6042.31,609,1,1,0,0
2,3,2024-01-03,5803.27,574,1,1,0,0
2,4,2024-01-04,5453.66,545,1,0,0,0
2,5,2024-01-05,6042.45,603,1,0,0,0
2,6,2024-01-06,6052.76,607,1,0,0,0
2,7,2024-01-07,0.0,0,0,0,0,0
2,1,2024-01-08,5415.51,543,1,0,0,0
2,2,2024-01-09,5484.9,544,1,0,0,0
2,3,2024-01-10,5244.01,528,1,0,0,0
2,4,2024-01-11,6187.51,600,1,1,0,0
2,5,2024-01-12,6739.29,669,1,1,0,0
2,6,2024-01-13,6633.66,650,1,1,0,0
2,7,2024-01-14,0.0,15,0,0,0,0
2,1,2024-01-15,5551.63,575,1,0,0,0
2,2,2024-01-16,5628.32,568,1,0,0,0
2,3,2024-01-17,5701.59,575,1,0,0,0
2,4,2024-01-18,5596.93,556,1,0,0,0
2,5,2024-01-19,6160.79,607,1,0,0,0
2,6,2024-01-20,6276.76,613,1,0,0,0
2,7,2024-01-21,0.0,0,0,1,0,0
2,1,2024-01-22,6178.86,626,1,1,0,0
2,2,2024-01-23,6261.89,634,1,1,0,0
2,3,2024-01-24,5339.83,533,1,0,0,0
2,4,2024-01-25,5392.86,533,1,0,0,0
2,5,2024-01-26,6369.84,644,1,0,0,0
2,6,2024-01-27,6109.56,598,1,0,0,0
2,7,2024-01-28,0.0,0,0,0,0,0
2,1,2024-01-29,5472.66,551,1,0,0,0
2,2,2024-01-30,5696.65,576,1,0,0,0
2,3,2024-01-31,5807.82,584,1,1,0,0
2,4,2024-02-01,6096.14,614,1,1,0,0
2,5,2024-02-02,6936.11,668,1,1,0,0
2,6,2024-02-03,6675.85,674,1,1,0,0
2,7,2024-02-04,0.0,17,0,0,0,0
2,1,2024-02-05,5630.06,573,1,0,0,0
2,2,2024-02-06,5521.8,561,1,0,0,0
2,3,2024-02-07,5722.93,575,1,0,0,0
2,4,2024-02-08,5627.18,565,1,0,0,0
2,5,2024-02-09,6149.74,613,1,0,0,0
2,6,2024-02-10,6239.26,628,1,0,0,0
2,7,2024-02-11,0.0,0,0,1,0,0
2,1,2024-02-12,6120.82,629,1,1,0,0
2,2,2024-02-13,6050.63,595,1,1,0,0
2,3,2024-02-14,5648.1,574,1,0,0,0
2,4,2024-02-15,5629.1,578,1,0,0,0
2,5,2024-02-16,6384.38,648,1,0,0,0
2,6,2024-02-17,6351.83,663,1,0,0,0
2,7,2024-02-18,0.0,0,0,0,0,0
2,1,2024-02-19,5835.17,578,1,0,0,0
2,2,2024-02-20,5659.16,581,1,0,0,0
2,3,2024-02-21,5977.42,582,1,1,0,0
2,4,2024-02-22,5980.95,588,1,1,0,0
2,5,2024-02-23,6879.19,694,1,1,0,0
2,6,2024-02-24,6342.85,617,1,0,0,0
2,7,2024-02-25,0.0,0,0,0,0,0
2,1,2024-02-26,5609.36,566,1,0,0,0
2,2,2024-02-27,5753.23,576,1,0,0,0
2,3,2024-02-28,5763.16,579,1,0,0,0
2,4,2024-02-29,5738.41,565,1,0,0,0
2,5,2024-03-01,6826.03,684,1,1,0,0
2,6,2024-03-02,6948.75,690,1,1,0,0
2,7,2024-03-03,0.0,0,0,1,0,0
2,1,2024-03-04,5671.33,577,1,0,0,0
2,2,2024-03-05,5448.71,529,1,0,0,0
2,3,2024-03-06,5512.38,523,1,0,0,0
2,4,2024-03-07,5611.13,570,1,0,0,0
2,5,2024-03-08,6310.52,633,1,0,0,0
2,6,2024-03-09,6477.52,663,1,0,0,0
2,7,2024-03-10,0.0,16,0,0,0,0
2,1,2024-03-11,6231.81,613,1,1,0,0
2,2,2024-03-12,6151.26,597,1,1,0,0
2,3,2024-03-13,6117.76,607,1,1,0,0
2,4,2024-03-14,5802.43,600,1,0,0,0
2,5,2024-03-15,6191.7,623,1,0,0,0
2,6,2024-03-16,6234.17,629,1,0,0,0
2,7,2024-03-17,0.0,0,0,0,0,0
2,1,2024-03-18,5823.11,575,1,0,0,0
2,2,2024-03-19,5648.84,552,1,0,0,0
2,3,2024-03-20,5635.5,568,1,0,0,0
2,4,2024-03-21,6212.32,625,1,1,0,0
2,5,2024-03-22,6929.38,708,1,1,0,0
2,6,2024-03-23,6845.64,666,1,1,0,0
2,7,2024-03-24,0.0,0,0,0,0,0
2,1,2024-03-25,5851.9,589,1,0,0,0
2,2,2024-03-26,5702.96,574,1,0,0,0
2,3,2024-03-27,5953.27,620,1,0,0,0
2,4,2024-03-28,5727.83,574,1,0,0,0
2,5,2024-03-29,6498.91,639,1,0,0,0
2,6,2024-03-30,6409.89,640,1,0,0,0
2,7,2024-03-31,0.0,0,0,1,0,0
2,1,2024-04-01,6049.23,580,1,1,0,1
2,2,2024-04-02,6105.77,605,1,1,0,1
2,3,2024-04-03,6204.46,643,1,1,0,1
2,4,2024-04-04,5852.05,573,1,0,0,1
2,5,2024-04-05,6410.66,636,1,0,0,1
2,6,2024-04-06,6334.31,635,1,0,0,1
2,7,2024-04-07,0.0,0,0,0,0,1
2,1,2024-04-08,5844.82,570,1,0,0,1
2,2,2024-04-09,5717.14,602,1,0,0,1
2,3,2024-04-10,5742.27,591,1,0,0,1
2,4,2024-04-11,6245.52,631,1,1,0,1
2,5,2024-04-12,6876.66,685,1,1,0,1
2,6,2024-04-13,6788.79,684,1,1,0,1
2,7,2024-04-14,0.0,7,0,0,0,1
2,1,2024-04-15,5839.97,588,1,0,0,1
2,2,2024-04-16,5673.96,572,1,0,0,1
2,3,2024-04-17,5669.75,578,1,0,0,1
2,4,2024-04-18,5485.41,544,1,0,0,1
2,5,2024-04-19,6114.58,593,1,0,0,1
2,6,2024-04-20,6515.35,662,1,0,0,1
2,7,2024-04-21,0.0,0,0,1,0,1
2,1,2024-04-22,5862.09,579,1,1,0,1
2,2,2024-04-23,6506.22,655,1,1,0,1
2,3,2024-04-24,5626.48,568,1,0,0,1
2,4,2024-04-25,5504.08,546,1,0,0,1
2,5,2024-04-26,6351.01,634,1,0,0,1
2,6,2024-04-27,6431.57,647,1,0,0,1
2,7,2024-04-28,0.0,0,0,0,0,1
2,1,2024-04-29,5789.34,598,1,0,0,1
2,2,2024-04-30,5562.53,545,1,0,0,1
2,3,2024-05-01,6356.5,633,1,1,0,0
2,4,2024-05-02,6361.84,630,1,1,0,0
2,5,2024-05-03,7015.09,703,1,1,0,0
2,6,2024-05-04,6348.48,653,1,0,0,0
2,7,2024-05-05,0.0,0,0,0,0,0
2,1,2024-05-06,5607.46,566,1,0,0,0
2,2,2024-05-07,5470.18,554,1,0,0,0
2,3,2024-05-08,5590.13,572,1,0,0,0
2,4,2024-05-09,5364.1,526,1,0,0,0
2,5,2024-05-10,6095.59,599,1,0,0,0
2,6,2024-05-11,6844.16,682,1,1,0,0
2,7,2024-05-12,0.0,0,0,1,0,0
2,1,2024-05-13,6181.6,606,1,1,0,0
2,2,2024-05-14,5718.28,579,1,0,0,0
2,3,2024-05-15,5675.86,574,1,0,0,0
2,4,2024-05-16,5661.36,590,1,0,0,0
2,5,2024-05-17,6261.4,622,1,0,0,0
2,6,2024-05-18,6177.42,605,1,0,0,0
2,7,2024-05-19,0.0,0,0,0,0,0
3,1,2024-01-01,6467.03,650,1,1,0,0
3,2,2024-01-02,6487.15,639,1,1,0,0
3,3,2024-01-03,6594.54,668,1,1,0,0
3,4,2024-01-04,5952.86,587,1,0,0,0
3,5,2024-01-05,6693.32,671,1,0,0,0
3,6,2024-01-06,6459.22,645,1,0,0,0
3,7,2024-01-07,0.0,0,0,0,0,0
3,1,2024-01-08,6016.71,584,1,0,0,0
3,2,2024-01-09,6159.72,630,1,0,0,0
3,3,2024-01-10,5974.51,601,1,0,0,0
3,4,2024-01-11,6241.04,610,1,1,0,0
3,5,2024-01-12,7150.38,702,1,1,0,0
3,6,2024-01-13,7276.74,751,1,1,0,0
3,7,2024-01-14,0.0,0,0,0,0,0
3,1,2024-01-15,6059.97,625,1,0,0,0
3,2,2024-01-16,5890.34,592,1,0,0,0
3,3,2024-01-17,6260.87,606,1,0,0,0
3,4,2024-01-18,5893.85,584,1,0,0,0
3,5,2024-01-19,6640.34,673,1,0,0,0
3,6,2024-01-20,6737.01,652,1,0,0,0
3,7,2024-01-21,0.0,0,0,1,0,0
3,1,2024-01-22,6741.25,666,1,1,0,0
3,2,2024-01-23,6517.02,658,1,1,0,0
3,3,2024-01-24,6170.03,622,1,0,0,0
3,4,2024-01-25,5881.23,594,1,0,0,0
3,5,2024-01-26,6614.37,664,1,0,0,0
3,6,2024-01-27,6572.59,662,1,0,0,0
3,7,2024-01-28,0.0,0,0,0,0,0
3,1,2024-01-29,6188.85,621,1,0,0,0
3,2,2024-01-30,6034.33,620,1,0,0,0
3,3,2024-01-31,6579.9,658,1,1,0,0
3,4,2024-02-01,6669.76,659,1,1,0,0
3,5,2024-02-02,7348.7,728,1,1,0,0
3,6,2024-02-03,7247.38,741,1,1,0,0
3,7,2024-02-04,0.0,0,0,0,0,0
3,1,2024-02-05,6329.17,663,1,0,0,0
3,2,2024-02-06,6091.68,585,1,0,0,0
3,3,2024-02-07,6107.45,607,1,0,0,0
3,4,2024-02-08,6126.26,599,1,0,0,0
3,5,2024-02-09,6872.89,693,1,0,0,0
3,6,2024-02-10,6628.23,671,1,0,0,0
3,7,2024-02-11,0.0,2,0,1,0,0
3,1,2024-02-12,6645.34,662,1,1,0,0
3,2,2024-02-13,6763.69,655,1,1,0,0
3,3,2024-02-14,6193.55,614,1,0,0,0
3,4,2024-02-15,6399.47,637,1,0,0,0
3,5,2024-02-16,7031.71,689,1,0,0,0
3,6,2024-02-17,6905.8,694,1,0,0,0
3,7,2024-02-18,0.0,2,0,0,0,0
3,1,2024-02-19,6338.16,629,1,0,0,0
3,2,2024-02-20,5993.18,599,1,0,0,0
3,3,2024-02-21,6611.4,657,1,1,0,0
3,4,2024-02-22,6713.31,650,1,1,0,0
3,5,2024-02-23,7182.56,724,1,1,0,0
3,6,2024-02-24,6796.97,648,1,0,0,0
3,7,2024-02-25,0.0,3,0,0,0,0
3,1,2024-02-26,6130.31,597,1,0,0,0
3,2,2024-02-27,6319.29,636,1,0,0,0
3,3,2024-02-28,6507.85,655,1,0,0,0
3,4,2024-02-29,6271.33,625,1,0,0,0
3,5,2024-03-01,7495.6,757,1,1,0,0
3,6,2024-03-02,7550.49,748,1,1,0,0
3,7,2024-03-03,0.0,0,0,1,0,0
3,1,2024-03-04,6330.33,651,1,0,0,0
3,2,2024-03-05,6182.82,613,1,0,0,0
3,3,2024-03-06,6277.93,624,1,0,0,0
3,4,2024-03-07,6356.77,608,1,0,0,0
3,5,2024-03-08,6795.51,670,1,0,0,0
3,6,2024-03-09,6618.37,650,1,0,0,0
3,7,2024-03-10,0.0,0,0,0,0,0
3,1,2024-03-11,6904.31,687,1,1,0,0
3,2,2024-03-12,6648.89,664,1,1,0,0
3,3,2024-03-13,6900.24,678,1,1,0,0
3,4,2024-03-14,6146.73,621,1,0,0,0
3,5,2024-03-15,6880.98,695,1,0,0,0
3,6,2024-03-16,6907.4,699,1,0,0,0
3,7,2024-03-17,0.0,0,0,0,0,0
3,1,2024-03-18,6236.43,609,1,0,0,0
3,2,2024-03-19,6075.29,615,1,0,0,0
3,3,2024-03-20,6221.9,609,1,0,0,0
3,4,2024-03-21,6773.49,690,1,1,0,0
3,5,2024-03-22,7162.26,698,1,1,0,0
3,6,2024-03-23,7326.03,750,1,1,0,0
3,7,2024-03-24,0.0,9,0,0,0,0
3,1,2024-03-25,6131.33,599,1,0,0,0
3,2,2024-03-26,6322.43,632,1,0,0,0
3,3,2024-03-27,6334.99,631,1,0,0,0
3,4,2024-03-28,6302.88,632,1,0,0,0
3,5,2024-03-29,7013.09,710,1,0,0,0
3,6,2024-03-30,6725.54,645,1,0,0,0
3,7,2024-03-31,0.0,14,0,1,0,0
3,1,2024-04-01,6667.5,644,1,1,0,1
3,2,2024-04-02,6801.74,691,1,1,0,1
3,3,2024-04-03,7005.35,706,1,1,0,1
3,4,2024-04-04,6224.73,611,1,0,0,1
3,5,2024-04-05,6920.31,688,1,0,0,1
3,6,2024-04-06,6796.63,704,1,0,0,1
3,7,2024-04-07,0.0,13,0,0,0,1
3,1,2024-04-08,6156.65,625,1,0,0,1
3,2,2024-04-09,6343.13,639,1,0,0,1
3,3,2024-04-10,6415.46,649,1,0,0,1
3,4,2024-04-11,6873.34,694,1,1,0,1
3,5,2024-04-12,7474.37,726,1,1,0,1
3,6,2024-04-13,7442.36,737,1,1,0,1
3,7,2024-04-14,0.0,20,0,0,0,1
3,1,2024-04-15,6467.22,663,1,0,0,1
3,2,2024-04-16,6288.94,645,1,0,0,1
3,3,2024-04-17,6258.24,628,1,0,0,1
3,4,2024-04-18,6123.96,617,1,0,0,1
3,5,2024-04-19,6910.72,675,1,0,0,1
3,6,2024-04-20,6895.54,688,1,0,0,1
3,7,2024-04-21,0.0,10,0,1,0,1
3,1,2024-04-22,6769.21,679,1,1,0,1
3,2,2024-04-23,6771.08,674,1,1,0,1
3,3,2024-04-24,6113.74,609,1,0,0,1
3,4,2024-04-25,6151.86,600,1,0,0,1
3,5,2024-04-26,6950.42,699,1,0,0,1
3,6,2024-04-27,6672.26,665,1,0,0,1
3,7,2024-04-28,0.0,12,0,0,0,1
3,1,2024-04-29,6354.7,635,1,0,0,1
3,2,2024-04-30,6127.54,599,1,0,0,1
3,3,2024-05-01,6787.56,683,1,1,0,0
3,4,2024-05-02,6897.86,702,1,1,0,0
3,5,2024-05-03,7374.61,722,1,1,0,0
3,6,2024-05-04,6829.2,685,1,0,0,0
3,7,2024-05-05,0.0,0,0,0,0,0
3,1,2024-05-06,6241.64,618,1,0,0,0
3,2,2024-05-07,6132.71,617,1,0,0,0
3,3,2024-05-08,6156.54,618,1,0,0,0
3,4,2024-05-09,6234.19,609,1,0,0,0
3,5,2024-05-10,6790.21,696,1,0,0,0
3,6,2024-05-11,7224.99,697,1,1,0,0
3,7,2024-05-12,0.0,0,0,1,0,0
3,1,2024-05-13,6710.9,669,1,1,0,0
3,2,2024-05-14,6329.16,600,1,0,0,0
3,3,2024-05-15,6227.17,641,1,0,0,0
3,4,2024-05-16,6040.45,599,1,0,0,0
3,5,2024-05-17,6731.5,662,1,0,0,0
3,6,2024-05-18,6778.7,694,1,0,0,0
3,7,2024-05-19,0.0,0,0,0,0,0
